service_date,route,direction,stop_id,events,otp,delay_med
2025-05-12,68,outbound,4100009FLEGS,9,0.0,-8.3
2025-05-12,681,inbound,410000000204,1,0.0,45.7
2025-05-12,685,outbound,3100Y93963B,2,0.0,48.74166666666667
2025-05-12,686,outbound,4.1E+11,1,0.0,-5.666666666666667
2025-05-12,686,outbound,410000010167,1,0.0,32.7
2025-05-12,695,inbound,4.1E+11,1,0.0,-24.566666666666666
2025-05-12,6B,outbound,07605712,1,0.0,22.9
2025-05-12,7,inbound,075071088D,2,0.0,29.225
2025-05-12,7,inbound,075071288G,1,0.0,7.333333333333333
2025-05-12,7,inbound,41000014METD,1,0.0,36.96666666666667
2025-05-12,7,inbound,41000042SSIC,3,0.0,29.633333333333333
2025-05-12,7,outbound,075071209A,3,0.0,29.883333333333333
2025-05-12,7,outbound,410000009220,3,0.0,41.05
2025-05-12,71,inbound,4.1E+11,1,1.0,1.4
2025-05-12,71,inbound,410000007120,2,0.0,9.958333333333332
2025-05-12,71,outbound,41000008NC50,1,0.0,-3.4166666666666665
2025-05-12,72,inbound,4.1E+11,6,0.5,-1.2666666666666666
2025-05-12,72,inbound,410000007142,1,0.0,10.616666666666667
2025-05-12,72,outbound,41000008NC50,5,0.0,-3.933333333333333
2025-05-12,787,inbound,4.1E+11,3,0.0,-7.216666666666667
2025-05-12,787,outbound,41000008NC18,4,0.0,-8.233333333333334
2025-05-12,8,inbound,410000060058,2,0.0,30.025
2025-05-12,8,outbound,410000025319,1,0.0,28.016666666666666
2025-05-12,8,outbound,41000042SSIB,4,0.0,34.275
2025-05-12,804,inbound,410000000065,1,0.0,29.316666666666666
2025-05-12,87,outbound,41000008NC50,1,0.0,33.63333333333333
2025-05-12,960,inbound,410000023930,1,0.0,73.43333333333334
2025-05-12,991,inbound,4.1E+11,1,0.0,-3.45
2025-05-12,995,inbound,410000015B15,1,0.0,-9.3
2025-05-12,RP1,outbound,079073001O,1,0.0,16.833333333333332
2025-05-12,UTCC,inbound,410000032074,1,0.0,53.21666666666667
2025-05-12,UTCG,inbound,077072345A,1,0.0,12.05
2025-05-12,X1,inbound,410000029953,4,0.0,20.958333333333336
2025-05-12,X20,outbound,41000042SSIP,4,0.0,19.891666666666666
