service_date,route,direction,trips_planned,trips_actual,cancel_rate,otp,delay_med,delay_p90,delay_avg,events
2025-05-12,20,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,19.266666666666666,19.266666666666666,19.266666666666666,1970-01-01 00:00:00.000000001+00:00
2025-05-12,22,inbound,8,1970-01-01 00:00:00.000000008+00:00,0.0,0.0,68.7,79.73666666666666,64.7,1970-01-01 00:00:00.000000008+00:00
2025-05-12,22,outbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,62.18333333333333,79.28999999999999,55.01904761904762,1970-01-01 00:00:00.000000007+00:00
2025-05-12,22X,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,76.16666666666667,77.79333333333334,76.16666666666667,1970-01-01 00:00:00.000000002+00:00
2025-05-12,23,inbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,34.80833333333334,38.17333333333333,35.68333333333334,1970-01-01 00:00:00.000000004+00:00
2025-05-12,23,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,38.208333333333336,40.12166666666667,38.208333333333336,1970-01-01 00:00:00.000000002+00:00
2025-05-12,3,inbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.2,39.333333333333336,46.02666666666667,29.763333333333332,1970-01-01 00:00:00.000000005+00:00
2025-05-12,3,outbound,6,1970-01-01 00:00:00.000000006+00:00,0.0,0.0,40.15833333333333,44.5,39.68888888888889,1970-01-01 00:00:00.000000006+00:00
2025-05-12,30,inbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,58.11666666666667,72.63666666666666,53.05333333333333,1970-01-01 00:00:00.000000005+00:00
2025-05-12,30,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,46.28333333333333,53.376666666666665,43.5875,1970-01-01 00:00:00.000000004+00:00
2025-05-12,31,inbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,37.416666666666664,46.53666666666667,39.31111111111111,1970-01-01 00:00:00.000000003+00:00
2025-05-12,31,outbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,34.46666666666667,49.733333333333334,40.577777777777776,1970-01-01 00:00:00.000000003+00:00
2025-05-12,32,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,98.83333333333333,98.83333333333333,98.83333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,32,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,93.20833333333333,109.335,93.20833333333333,1970-01-01 00:00:00.000000002+00:00
2025-05-12,32A,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,88.18333333333334,105.33,88.18333333333334,1970-01-01 00:00:00.000000002+00:00
2025-05-12,32A,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,103.03333333333333,103.03333333333333,103.03333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,35,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,44.13333333333333,44.13333333333333,44.13333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,36,inbound,6,1970-01-01 00:00:00.000000006+00:00,0.0,0.0,74.98333333333333,80.73333333333333,67.77499999999999,1970-01-01 00:00:00.000000006+00:00
2025-05-12,36,outbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,39.03333333333333,81.6,44.06666666666666,1970-01-01 00:00:00.000000007+00:00
2025-05-12,37,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,41.5,41.5,41.5,1970-01-01 00:00:00.000000001+00:00
2025-05-12,37,outbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,70.5,104.80000000000001,72.71428571428571,1970-01-01 00:00:00.000000007+00:00
2025-05-12,38,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,35.71666666666667,60.593333333333334,36.81190476190476,1970-01-01 00:00:00.000000007+00:00
2025-05-12,38,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,44.416666666666664,64.83666666666667,48.42999999999999,1970-01-01 00:00:00.000000005+00:00
2025-05-12,39,inbound,8,1970-01-01 00:00:00.000000008+00:00,0.0,0.0,45.68333333333334,56.733333333333334,41.84583333333333,1970-01-01 00:00:00.000000008+00:00
2025-05-12,39,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,39.483333333333334,44.63666666666666,31.986666666666668,1970-01-01 00:00:00.000000005+00:00
2025-05-12,3A,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,39.81666666666667,39.81666666666667,39.81666666666667,1970-01-01 00:00:00.000000001+00:00
2025-05-12,3A,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,16.15,16.15,16.15,1970-01-01 00:00:00.000000001+00:00
